"Meldedatum","NewCases"
2020-03-03,2
2020-03-12,1
2020-03-13,1
2020-03-16,4
2020-03-17,1
2020-03-18,8
2020-03-19,9
2020-03-20,1
2020-03-21,2
2020-03-23,2
2020-03-24,2
2020-03-25,4
2020-03-26,6
2020-03-27,11
2020-03-28,2
2020-03-30,6
2020-03-31,6
2020-04-01,1
2020-04-02,4
2020-04-03,7
2020-04-04,1
2020-04-06,3
2020-04-07,9
2020-04-08,1
2020-04-09,1
2020-04-10,6
2020-04-11,7
2020-04-13,1
2020-04-14,1
2020-04-15,3
2020-04-16,1
2020-04-17,3
2020-04-18,3
2020-04-21,1
2020-04-22,3
2020-04-24,2
2020-04-25,2
2020-04-27,1
2020-04-28,6
2020-05-07,1
2020-05-29,1
2020-06-04,1
2020-06-15,1
2020-06-29,1
2020-07-15,1
2020-07-17,2
2020-07-19,2
2020-07-27,2
2020-08-02,2
2020-08-03,1
2020-08-04,2
2020-08-05,3
2020-08-06,2
2020-08-07,3
2020-08-10,1
2020-08-12,1
2020-08-14,1
2020-08-20,1
2020-08-21,2
2020-08-23,1
2020-09-08,1
2020-09-10,1
2020-09-11,3
2020-09-12,2
2020-09-13,1
2020-09-18,1
2020-09-22,1
2020-09-23,1
2020-09-26,5
2020-09-28,1
2020-09-29,2
2020-09-30,7
2020-10-02,5
2020-10-03,2
2020-10-05,5
2020-10-06,3
2020-10-07,7
2020-10-08,7
2020-10-09,4
2020-10-12,1
2020-10-13,2
2020-10-14,11
2020-10-15,5
2020-10-16,10
2020-10-17,3
2020-10-18,2
2020-10-19,1
2020-10-20,12
2020-10-21,20
2020-10-22,18
2020-10-23,14
2020-10-24,17
2020-10-25,9
2020-10-26,17
2020-10-27,27
2020-10-28,33
2020-10-29,24
2020-10-30,20
2020-10-31,35
2020-11-01,9
2020-11-02,15
2020-11-03,42
2020-11-04,41
2020-11-05,30
2020-11-06,32
2020-11-07,31
2020-11-08,5
2020-11-09,14
2020-11-10,19
2020-11-11,30
2020-11-12,58
2020-11-13,42
2020-11-14,14
2020-11-15,4
2020-11-16,10
2020-11-17,18
2020-11-18,52
2020-11-19,35
2020-11-20,33
2020-11-21,20
2020-11-22,2
2020-11-23,21
2020-11-24,22
2020-11-25,37
2020-11-26,23
2020-11-27,36
2020-11-28,36
2020-11-29,24
2020-11-30,8
2020-12-01,27
2020-12-02,39
2020-12-03,26
2020-12-04,38
2020-12-05,26
2020-12-06,6
2020-12-07,19
2020-12-08,41
2020-12-09,56
2020-12-10,38
2020-12-11,58
2020-12-12,33
2020-12-13,28
2020-12-14,25
2020-12-15,44
2020-12-16,55
2020-12-17,15
2020-12-18,40
2020-12-19,14
2020-12-20,50
2020-12-21,54
2020-12-22,39
2020-12-23,47
2020-12-24,22
2020-12-25,47
2020-12-26,41
2020-12-27,38
2020-12-28,44
2020-12-29,40
2020-12-30,54
2020-12-31,46
2021-01-01,39
2021-01-02,59
2021-01-03,24
2021-01-04,39
2021-01-05,28
2021-01-06,45
2021-01-07,40
2021-01-08,61
2021-01-09,12
2021-01-10,10
2021-01-11,70
2021-01-12,64
2021-01-13,64
2021-01-14,63
2021-01-15,77
2021-01-16,66
2021-01-17,68
2021-01-18,70
2021-01-19,70
2021-01-20,50
2021-01-21,66
2021-01-22,80
2021-01-23,57
2021-01-24,78
2021-01-25,53
2021-01-26,82
2021-01-27,58
2021-01-28,76
2021-01-29,65
2021-01-30,16
2021-01-31,39
2021-02-01,54
2021-02-02,63
2021-02-03,90
2021-02-04,103
2021-02-05,95
2021-02-06,41
2021-02-07,52
2021-02-08,51
2021-02-09,73
2021-02-10,86
2021-02-11,71
2021-02-12,76
2021-02-13,39
2021-02-14,47
2021-02-15,42
2021-02-16,80
2021-02-17,109
2021-02-18,72
2021-02-19,80
2021-02-20,25
2021-02-21,23
2021-02-22,29
2021-02-23,72
2021-02-24,56
2021-02-25,45
2021-02-26,80
2021-02-27,55
2021-02-28,13
2021-03-01,39
2021-03-02,38
2021-03-03,68
2021-03-04,33
2021-03-05,54
2021-03-06,7
2021-03-07,3
2021-03-08,31
2021-03-09,69
2021-03-10,51
2021-03-11,43
2021-03-12,48
2021-03-13,58
2021-03-14,1
2021-03-15,19
2021-03-16,53
2021-03-17,36
2021-03-18,24
2021-03-19,28
2021-03-20,34
